Address,Latitude,Longitude
"1 Ivy Street, DARLINGTON  NSW  2008",-33.891618799999996,151.19594119999996
"1 John Street, ERSKINEVILLE  NSW  2043",-33.8993081,151.1846516
"1 John Street, WATERLOO  NSW  2017",-33.9003348,151.2007303
"1 Kensington Street, WATERLOO  NSW  2017",-33.899498,151.2069174
"1 Kepos Street, REDFERN  NSW  2016",-33.8948016,151.2125679
"1 Kidmans Terrace, WOOLLOOMOOLOO  NSW  2011",-33.8722359,151.21811409999995
"1 Kings Cross Road, DARLINGHURST  NSW  2010",-33.8760048,151.2229031
"1 Knight Street, ERSKINEVILLE  NSW  2043",-33.904283299999996,151.18182990000003
"1 Levy Walk, ZETLAND  NSW  2017",-33.9066134,151.21184590000001
"1 Little Dowling Street, PADDINGTON  NSW  2021",-33.883667700000004,151.2190097
"1 Little Pier Street, HAYMARKET  NSW  2000",-33.8775696,151.2027155
"1 Lower Fort Street, DAWES POINT  NSW  2000",-33.8553967,151.2080312
"1 Lyndhurst Street, GLEBE  NSW  2037",-33.8775722,151.19091569999995
"1 MacDonald Street, ERSKINEVILLE  NSW  2043",-33.903586,151.18245019999995
"1 Macquarie Place, SYDNEY  NSW  2000",-33.861939500000005,151.2098389
"1 Macquarie Street, SYDNEY  NSW  2000",-33.85933970000001,151.21319509999995
"1 Mansfield Street, GLEBE  NSW  2037",-33.8782315,151.1834236
"1 Margaret Street, REDFERN  NSW  2016",-33.8939993,151.1989554
"1 Margaret Street, SYDNEY  NSW  2000",-33.8654638,151.20452350000005
"1 Market Street, SYDNEY  NSW  2000",-33.8712191,151.2045084
"1 Marlborough Street, GLEBE  NSW  2037",-33.87816220000001,151.18760980000005
"1 Martin Place, SYDNEY  NSW  2000",-33.867844700000006,151.2077854
"1 Marys Place, SURRY HILLS  NSW  2010",-33.8835581,151.21661840000004
"1 McLachlan Avenue, RUSHCUTTERS BAY  NSW  2011",-33.8771518,151.22820269999997
"1 McPherson Lane, ZETLAND  NSW  2017",-33.904328899999996,151.206021
"1 Metters Street, ERSKINEVILLE  NSW  2043",-33.9033029,151.1867673
"1 Mill Street, PYRMONT  NSW  2009",-33.86532329999999,151.1935233
"1 Minogue Crescent, FOREST LODGE  NSW  2037",-33.8801046,151.1762716
"1 Missenden Road, CAMPERDOWN  NSW  2050",-33.8866432,151.17864680000002
"1 Mitchell Street, CENTENNIAL PARK  NSW  2021",-33.8920867,151.231496
"1 Morrissey Road, ERSKINEVILLE  NSW  2043",-33.900076,151.1841613
"1 Munni Street, ERSKINEVILLE  NSW  2043",-33.9016929,151.1820763
"1 Newcombe Street, PADDINGTON  NSW  2021",-33.8870581,151.2291573
"1 Nichols Street, SURRY HILLS  NSW  2010",-33.8843186,151.2165211
"1 Northcote Road, GLEBE  NSW  2037",-33.8729619,151.18066130000003
"1 Norton Street, SURRY HILLS  NSW  2010",-33.8852408,151.21340880000002
"1 O'Connor Street, CHIPPENDALE  NSW  2008",-33.8862564,151.197609
"1 O'Riordan Street, ALEXANDRIA  NSW  2015",-33.906264799999995,151.20157759999995
"1 Palmerston Avenue, GLEBE  NSW  2037",-33.877613700000005,151.1869824
"1 Parramatta Road, CAMPERDOWN  NSW  2050",-33.8872664,151.1720671
"1 Poate Road, CENTENNIAL PARK  NSW  2021",-33.8899305,151.2288409
"1 Poplar Street, SURRY HILLS  NSW  2010",-33.878386299999995,151.21251740000002
"1 Pottinger Street, MILLERS POINT  NSW  2000",-33.857474100000005,151.2051729
"1 Power Avenue, ALEXANDRIA  NSW  2015",-33.900730700000004,151.19933799999995
"1 Prince Albert Road, SYDNEY  NSW  2000",-33.8699632,151.2132566
"1 Purves Street, GLEBE  NSW  2037",-33.8816097,151.1853699
"1 Quarry Lane, ULTIMO  NSW  2007",-33.8763685,151.1969884
"1 Railway Square, HAYMARKET  NSW  2000",-33.882889,151.2054427
"1 Railway Street, GLEBE  NSW  2037",-33.87559829999999,151.19189630000002
"1 Ralph Street, ALEXANDRIA  NSW  2015",-33.9145781,151.1997543
"1 Reuss Street, GLEBE  NSW  2037",-33.8813513,151.1856647
"1 Ripon Way, ROSEBERY  NSW  2018",-33.91778499999999,151.208309
"1 Rochford Street, ERSKINEVILLE  NSW  2043",-33.899587,151.1828635
"1 Rosebank Street, GLEBE  NSW  2037",-33.879636100000006,151.1861955
"1 Rothschild Avenue, ROSEBERY  NSW  2018",-33.911100299999994,151.2072681
